number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_feed_forward_size,params_hidden_size,params_lr,params_num_blocks,params_num_heads,state
83,-1.2553461165655226,2024-05-10 04:20:14.101388,2024-05-10 04:21:47.483211,0 days 00:01:33.381823,256,0.30000000000000004,128,32,0.007650052696170327,2,1,COMPLETE
84,-1.2500150061789013,2024-05-10 04:21:47.484016,2024-05-10 04:22:14.198392,0 days 00:00:26.714376,256,0.30000000000000004,128,32,0.005121298265673913,2,1,COMPLETE
85,-1.2423080489749,2024-05-10 04:22:14.198992,2024-05-10 04:23:44.864471,0 days 00:01:30.665479,256,0.4,128,32,0.0027776177090684906,2,1,COMPLETE
86,-1.2226646676614292,2024-05-10 04:23:44.865134,2024-05-10 04:27:23.448666,0 days 00:03:38.583532,32,0.30000000000000004,512,128,1.000609017660923e-05,2,8,COMPLETE
87,-1.2486231156757899,2024-05-10 04:27:23.449561,2024-05-10 04:28:01.338988,0 days 00:00:37.889427,256,0.30000000000000004,64,24,0.003353887500077008,2,8,COMPLETE
88,-1.2097171516303558,2024-05-10 04:28:01.339633,2024-05-10 04:28:51.241922,0 days 00:00:49.902289,128,0.2,64,64,0.008060437898317358,2,1,COMPLETE
89,-1.226351105031513,2024-05-10 04:28:51.242820,2024-05-10 04:29:28.521377,0 days 00:00:37.278557,256,0.30000000000000004,128,128,0.00034550996159494823,1,8,COMPLETE
90,-1.248885256903512,2024-05-10 04:29:28.522059,2024-05-10 04:31:22.621092,0 days 00:01:54.099033,256,0.30000000000000004,64,32,0.004111897704901237,4,8,COMPLETE
91,-1.2479680208932786,2024-05-10 04:31:22.621827,2024-05-10 04:31:52.838767,0 days 00:00:30.216940,256,0.30000000000000004,128,32,0.007449416544863404,2,1,COMPLETE
92,-1.2493920439765567,2024-05-10 04:31:52.839411,2024-05-10 04:32:40.301752,0 days 00:00:47.462341,256,0.30000000000000004,128,32,0.005932255394475495,2,1,COMPLETE
93,-1.24191890727906,2024-05-10 04:32:40.302456,2024-05-10 04:33:19.220434,0 days 00:00:38.917978,256,0.30000000000000004,128,32,0.004874954400871692,2,1,COMPLETE
94,-1.2521754446483793,2024-05-10 04:33:19.221050,2024-05-10 04:33:46.327140,0 days 00:00:27.106090,256,0.30000000000000004,128,32,0.0068286663747065095,2,1,COMPLETE
95,-1.2505981604258218,2024-05-10 04:33:46.327769,2024-05-10 04:34:57.820076,0 days 00:01:11.492307,64,0.30000000000000004,128,32,0.003762847750980443,2,1,COMPLETE
96,-1.2315284751710438,2024-05-10 04:34:57.820898,2024-05-10 04:37:20.010831,0 days 00:02:22.189933,256,0.1,512,128,0.009396566773488586,2,8,COMPLETE
97,-1.2534625209573553,2024-05-10 04:37:20.011557,2024-05-10 04:40:02.310848,0 days 00:02:42.299291,32,0.30000000000000004,256,32,0.002124549771748728,3,8,COMPLETE
98,-1.250204412710099,2024-05-10 04:40:02.311733,2024-05-10 04:43:27.576376,0 days 00:03:25.264643,256,0.1,64,256,0.005584968232682214,4,1,COMPLETE
99,-1.2517675984473455,2024-05-10 04:43:27.577092,2024-05-10 04:44:03.703836,0 days 00:00:36.126744,256,0.30000000000000004,128,32,5.2836048973408194e-05,2,2,COMPLETE
