number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
89,0.5048550870439398,2024-06-22 18:16:19.116406,2024-06-22 18:21:26.139217,0 days 00:05:07.022811,32,128,128,0.5,256,0.00037090389087339844,4,2,COMPLETE
90,0.4530935560968355,2024-06-22 18:21:26.141153,2024-06-22 18:24:57.703584,0 days 00:03:31.562431,32,128,128,0.5,256,0.000833796419224462,4,2,COMPLETE
91,-0.4365867676598154,2024-06-22 18:24:57.705074,2024-06-22 18:25:41.466267,0 days 00:00:43.761193,256,128,128,0.5,256,0.00015535905435467068,4,2,COMPLETE
92,0.4850321351737089,2024-06-22 18:25:41.467397,2024-06-22 18:30:46.650714,0 days 00:05:05.183317,32,128,128,0.5,256,0.0005583347716132954,4,2,COMPLETE
93,0.5016131957127189,2024-06-22 18:30:46.652149,2024-06-22 18:35:18.018752,0 days 00:04:31.366603,32,128,128,0.5,256,0.00034451319525957886,4,2,COMPLETE
94,0.4982201541270267,2024-06-22 18:35:18.020251,2024-06-22 18:40:52.128035,0 days 00:05:34.107784,32,128,128,0.5,256,0.00020534461807453675,4,2,COMPLETE
95,0.5069359675189065,2024-06-22 18:40:52.129420,2024-06-22 18:43:44.729505,0 days 00:02:52.600085,32,128,128,0.1,256,0.00021058035702438928,4,2,COMPLETE
96,0.5178993812794184,2024-06-22 18:43:44.735902,2024-06-22 18:48:24.191315,0 days 00:04:39.455413,32,128,128,0.1,256,0.00028185676400294135,4,2,COMPLETE
97,0.508939627654619,2024-06-22 18:48:24.197079,2024-06-22 18:50:37.865543,0 days 00:02:13.668464,32,128,128,0.1,32,0.00030190668022895607,4,2,COMPLETE
98,0.48771030222569534,2024-06-22 18:50:37.867517,2024-06-22 18:51:08.159581,0 days 00:00:30.292064,128,128,128,0.1,32,0.00046767211549810585,4,2,COMPLETE
99,0.4922980301616096,2024-06-22 18:51:08.160866,2024-06-22 18:54:00.763097,0 days 00:02:52.602231,32,128,128,0.1,32,0.0003061529587811759,4,2,COMPLETE
