number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
77,0.8589880468904089,2024-06-18 19:03:33.033982,2024-06-18 19:14:57.080803,0 days 00:11:24.046821,32,64,256,0.1,256,8.029322606376382e-05,8,4,COMPLETE
78,0.854429909817239,2024-06-18 19:14:57.082223,2024-06-18 19:24:09.199997,0 days 00:09:12.117774,32,32,256,0.1,256,0.0001145654654366092,2,4,COMPLETE
79,0.6320958632470016,2024-06-18 19:24:09.201458,2024-06-18 19:27:09.875665,0 days 00:03:00.674207,32,256,256,0.4,256,6.762183894693296e-05,8,4,COMPLETE
80,0.8393915800060104,2024-06-18 19:27:09.877108,2024-06-18 19:39:15.136278,0 days 00:12:05.259170,32,64,32,0.1,256,0.0001952723303271184,8,4,COMPLETE
81,0.840465916606504,2024-06-18 19:39:15.137623,2024-06-18 19:48:19.572627,0 days 00:09:04.435004,32,64,256,0.2,256,0.00014241121212802484,8,4,COMPLETE
82,0.863044700675308,2024-06-18 19:48:19.574247,2024-06-18 19:57:18.481818,0 days 00:08:58.907571,32,64,128,0.1,64,0.00031049808797494724,8,4,COMPLETE
83,0.8182935572906452,2024-06-18 19:57:18.483263,2024-06-18 19:59:09.447437,0 days 00:01:50.964174,256,64,256,0.1,256,5.606507203964611e-05,8,4,COMPLETE
84,0.8635516277066804,2024-06-18 19:59:09.448758,2024-06-18 20:07:53.379859,0 days 00:08:43.931101,32,64,128,0.1,64,0.00039992228324894577,8,4,COMPLETE
85,0.8627418065517317,2024-06-18 20:07:53.381251,2024-06-18 20:15:04.588377,0 days 00:07:11.207126,32,64,128,0.1,64,0.00021297936986387406,8,4,COMPLETE
86,0.8655377402662824,2024-06-18 20:15:04.589837,2024-06-18 20:26:08.312829,0 days 00:11:03.722992,32,64,128,0.1,64,0.00042171900789509347,8,4,COMPLETE
87,0.8602741757305034,2024-06-18 20:26:08.314482,2024-06-18 20:36:34.194398,0 days 00:10:25.879916,32,64,128,0.1,64,0.000579101307537991,8,4,COMPLETE
88,0.8632345205514431,2024-06-18 20:36:34.195895,2024-06-18 20:45:38.672288,0 days 00:09:04.476393,32,64,256,0.1,64,0.00017825750284540867,8,4,COMPLETE
89,0.8459680667928825,2024-06-18 20:45:38.673831,2024-06-18 20:57:42.056266,0 days 00:12:03.382435,32,32,256,0.1,128,0.00046148484739581575,8,4,COMPLETE
90,0.8596873961117272,2024-06-18 20:57:42.057841,2024-06-18 21:09:24.463838,0 days 00:11:42.405997,32,256,128,0.1,32,9.594823806181578e-05,4,4,COMPLETE
91,0.8478665975523745,2024-06-18 21:09:24.465273,2024-06-18 21:16:17.660073,0 days 00:06:53.194800,32,64,256,0.2,256,0.0003223575243838767,8,4,COMPLETE
92,0.8550307628188855,2024-06-18 21:16:17.661534,2024-06-18 21:28:20.916005,0 days 00:12:03.254471,32,64,256,0.1,64,0.00025337205861610294,2,4,COMPLETE
93,0.5249841004624143,2024-06-18 21:28:20.917412,2024-06-18 21:29:02.006635,0 days 00:00:41.089223,256,64,32,0.1,256,0.00012468379714248112,8,4,COMPLETE
94,0.8650306692208283,2024-06-18 21:29:02.007690,2024-06-18 21:38:52.940005,0 days 00:09:50.932315,32,64,128,0.1,64,0.0004100379410835244,8,4,COMPLETE
95,0.8639157756914275,2024-06-18 21:38:52.956181,2024-06-18 21:49:56.252008,0 days 00:11:03.295827,32,64,128,0.1,64,0.00040915271089185035,8,4,COMPLETE
96,0.8618544686887879,2024-06-18 21:49:56.253408,2024-06-18 22:01:15.583110,0 days 00:11:19.329702,32,64,128,0.1,64,0.00045237925543061013,8,4,COMPLETE
97,0.8611950482247643,2024-06-18 22:01:15.584518,2024-06-18 22:07:50.161588,0 days 00:06:34.577070,32,64,128,0.1,64,0.00022195847765762864,8,4,COMPLETE
98,0.861396142244943,2024-06-18 22:07:50.163110,2024-06-18 22:19:50.048079,0 days 00:11:59.884969,32,64,128,0.1,64,0.0006268276776752697,8,4,COMPLETE
99,0.8637731845043852,2024-06-18 22:19:50.049533,2024-06-18 22:27:22.386956,0 days 00:07:32.337423,32,64,128,0.1,64,0.00038421818558940645,8,4,COMPLETE
