number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
77,0.30857972159674235,2024-06-11 02:41:21.481479,2024-06-11 02:45:45.363987,0 days 00:04:23.882508,64,32,32,0.2,1.266815409286875e-06,8,2,COMPLETE
78,-0.023344263426709526,2024-06-11 02:45:45.365299,2024-06-11 02:49:07.002455,0 days 00:03:21.637156,64,32,32,0.2,3.017389395692298e-06,8,2,COMPLETE
79,-0.22427122348781509,2024-06-11 02:49:07.003787,2024-06-11 02:50:33.415843,0 days 00:01:26.412056,64,256,32,0.2,1.3563761841634636e-06,8,2,COMPLETE
80,0.4233637298844784,2024-06-11 02:50:33.417172,2024-06-11 02:54:56.948724,0 days 00:04:23.531552,64,32,32,0.1,2.4036822548450168e-06,2,2,COMPLETE
81,0.4687015263278364,2024-06-11 02:54:56.950272,2024-06-11 02:57:41.990956,0 days 00:02:45.040684,32,128,32,0.2,2.5141437408491343e-05,8,2,COMPLETE
82,-0.06763946550724675,2024-06-11 02:57:41.992253,2024-06-11 03:02:07.280882,0 days 00:04:25.288629,64,32,32,0.1,1.2080735675634254e-06,4,2,COMPLETE
83,0.1254401085013975,2024-06-11 03:02:07.282388,2024-06-11 03:06:30.712174,0 days 00:04:23.429786,64,32,32,0.2,1.0210570385570816e-06,8,2,COMPLETE
84,0.4715150266056221,2024-06-11 03:06:30.713421,2024-06-11 03:08:15.081087,0 days 00:01:44.367666,64,256,128,0.2,5.992618171750288e-05,8,4,COMPLETE
85,0.2075583719185124,2024-06-11 03:08:15.082685,2024-06-11 03:09:01.160876,0 days 00:00:46.078191,64,32,32,0.2,0.00010987956673110624,8,2,COMPLETE
86,0.04125054060632148,2024-06-11 03:09:01.162156,2024-06-11 03:13:22.702292,0 days 00:04:21.540136,64,32,32,0.2,1.9095297789506805e-06,8,2,COMPLETE
87,0.27540103695537593,2024-06-11 03:13:22.703798,2024-06-11 03:15:08.003257,0 days 00:01:45.299459,64,32,32,0.2,1.13358693518281e-05,8,2,COMPLETE
88,-0.1898662931128819,2024-06-11 03:15:08.004568,2024-06-11 03:16:59.907215,0 days 00:01:51.902647,64,32,32,0.2,5.146906808411121e-06,8,2,COMPLETE
89,-0.457435786293819,2024-06-11 03:16:59.908482,2024-06-11 03:18:18.307072,0 days 00:01:18.398590,256,32,32,0.2,7.0744995435368346e-06,8,2,COMPLETE
90,-0.30505638708185384,2024-06-11 03:18:18.308143,2024-06-11 03:19:37.087598,0 days 00:01:18.779455,256,32,32,0.30000000000000004,1.6127638497227284e-06,8,2,COMPLETE
91,-0.29233086417323756,2024-06-11 03:19:37.088869,2024-06-11 03:20:55.053549,0 days 00:01:17.964680,256,32,256,0.2,3.2169303786086575e-06,4,2,COMPLETE
92,-0.29936719322670796,2024-06-11 03:20:55.054632,2024-06-11 03:22:57.772470,0 days 00:02:02.717838,256,64,32,0.30000000000000004,2.176492540949221e-06,8,4,COMPLETE
93,-0.0755406525082696,2024-06-11 03:22:57.774086,2024-06-11 03:23:35.828548,0 days 00:00:38.054462,256,32,64,0.2,1.586855803073241e-05,8,2,COMPLETE
94,0.40717152111425614,2024-06-11 03:23:35.829995,2024-06-11 03:28:19.562530,0 days 00:04:43.732535,32,128,32,0.1,4.0667230731862e-06,2,4,COMPLETE
95,-0.391988613291989,2024-06-11 03:28:19.563815,2024-06-11 03:29:51.504660,0 days 00:01:31.940845,64,32,32,0.2,7.1800119694191885e-06,8,2,COMPLETE
96,-0.2588807827691004,2024-06-11 03:29:51.506103,2024-06-11 03:34:15.388347,0 days 00:04:23.882244,64,32,32,0.2,1.5528494842041145e-06,8,2,COMPLETE
97,-0.16687843197731614,2024-06-11 03:34:15.389830,2024-06-11 03:38:11.864155,0 days 00:03:56.474325,64,32,32,0.2,2.5769651319055577e-06,8,2,COMPLETE
98,-0.16653754821310632,2024-06-d 03:38:11.865378,2024-06-11 03:39:31.265862,0 days 00:01:19.400484,256,32,32,0.2,1.001003542598979e-06,8,2,COMPLETE
99,0.35963595552309885,2024-06-11 03:39:31.267440,2024-06-11 03:40:30.576445,0 days 00:00:59.309005,64,32,64,0.2,3.3420842142684874e-05,8,2,COMPLETE
