number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
64,0.8595075539961937,2024-06-11 14:13:25.650972,2024-06-11 14:16:39.824282,0 days 00:03:14.173310,128,128,256,0.1,0.0005215766571655402,4,3,COMPLETE
65,0.6014132109072057,2024-06-11 14:16:39.825769,2024-06-11 14:17:40.259988,0 days 00:01:00.434219,128,128,256,0.1,0.0009421182570275598,4,3,COMPLETE
66,0.8531160126894717,2024-06-11 14:17:40.261351,2024-06-11 14:20:58.901902,0 days 00:03:18.640551,128,128,256,0.1,0.0005968341918337909,4,3,COMPLETE
67,0.5121884946520094,2024-06-11 14:20:58.903824,2024-06-11 14:21:27.561646,0 days 00:00:28.657822,256,128,256,0.1,0.0022385390684458795,2,3,COMPLETE
68,0.815301142588416,2024-06-11 14:21:27.562717,2024-06-11 14:22:55.463812,0 days 00:01:27.901095,128,32,64,0.1,0.00018807753309689113,4,3,COMPLETE
69,0.7907444091183085,2024-06-11 14:22:55.465112,2024-06-11 14:25:42.276346,0 days 00:02:46.811234,64,128,256,0.2,0.0004943978274738359,4,3,COMPLETE
70,0.5988775476355938,2024-06-11 14:25:42.277688,2024-06-11 14:30:05.600077,0 days 00:04:23.322389,128,256,256,0.1,4.003434886225125e-06,4,4,COMPLETE
71,0.8597056530925876,2024-06-11 14:30:05.601558,2024-06-11 14:33:47.604437,0 days 00:03:42.002879,128,128,256,0.1,0.00031201017325279497,4,3,COMPLETE
72,0.8382717677594862,2024-06-11 14:33:47.605778,2024-06-11 14:37:12.881116,0 days 00:03:25.275338,128,128,256,0.1,9.490855732789027e-05,4,3,COMPLETE
73,0.860362373343987,2024-06-11 14:37:12.882505,2024-06-11 14:41:08.255934,0 days 00:03:55.373429,128,128,256,0.1,0.00023564573091622,4,3,COMPLETE
74,0.8535215431855793,2024-06-11 14:41:08.257451,2024-06-11 14:43:49.069321,0 days 00:02:40.811870,128,128,256,0.1,0.0002484791615700353,4,3,COMPLETE
75,0.8431661991817523,2024-06-11 14:43:49.071187,2024-06-11 14:47:43.473146,0 days 00:03:54.401959,128,128,256,0.1,0.0006693666574651065,4,3,COMPLETE
76,0.8287640927119563,2024-06-11 14:47:43.474656,2024-06-11 14:51:00.468939,0 days 00:03:16.994283,128,64,128,0.2,0.00013735966802608032,4,3,COMPLETE
77,0.8419899944754219,2024-06-11 14:51:00.470597,2024-06-11 14:53:16.988074,0 days 00:02:16.517477,128,128,256,0.1,0.00021295193754882142,2,3,COMPLETE
78,0.7565800950595291,2024-06-11 14:53:16.989637,2024-06-11 14:56:34.528831,0 days 00:03:17.539194,128,128,32,0.1,5.829956893451526e-05,4,3,COMPLETE
79,0.8593598688447839,2024-06-11 14:56:34.530436,2024-06-11 14:59:16.520944,0 days 00:02:41.990508,128,128,256,0.1,0.0002934979237052621,4,3,COMPLETE
80,0.8590091799766034,2024-06-11 14:59:16.522350,2024-06-11 15:10:20.233976,0 days 00:11:03.711626,32,128,256,0.1,0.00015912347696970378,4,3,COMPLETE
81,0.8611761899577273,2024-06-11 15:10:20.235909,2024-06-11 15:21:03.980377,0 days 00:10:43.744468,32,128,256,0.1,0.00016646683008736168,4,3,COMPLETE
82,0.8559471701259511,2024-06-11 15:21:03.981882,2024-06-11 15:28:31.037807,0 days 00:07:27.055925,32,128,256,0.1,9.55087359516501e-05,4,3,COMPLETE
83,0.8565531178933652,2024-06-11 15:28:31.039544,2024-06-11 15:37:43.248358,0 days 00:09:12.208814,32,128,256,0.1,0.00016385209519328807,4,3,COMPLETE
84,0.8407928652211158,2024-06-11 15:37:43.249722,2024-06-11 15:41:18.956785,0 days 00:03:35.707063,32,128,256,0.1,8.58530745310576e-05,4,3,COMPLETE
85,0.8560243441459899,2024-06-11 15:41:18.958099,2024-06-11 15:51:05.455853,0 days 00:09:46.497754,32,128,256,0.1,0.00011983999090693882,4,3,COMPLETE
86,0.8366970765701057,2024-06-11 15:51:05.457187,2024-06-11 16:01:20.207764,0 days 00:10:14.750577,32,128,256,0.1,0.00035463525881168113,4,3,COMPLETE
87,0.8443267726583348,2024-06-11 16:01:20.209900,2024-06-11 16:08:14.249833,0 days 00:06:54.039933,32,128,64,0.1,0.0002098168224744446,4,3,COMPLETE
88,0.861782272845186,2024-06-11 16:08:14.251169,2024-06-11 16:16:37.851869,0 days 00:08:23.600700,32,256,256,0.1,0.0001672793825751788,4,3,COMPLETE
89,0.7213398968810023,2024-06-11 16:16:37.853197,2024-06-11 16:20:55.756834,0 days 00:04:17.903637,32,256,256,0.4,6.228563181370817e-05,4,3,COMPLETE
90,0.8398612953394334,2024-06-11 16:20:55.758327,2024-06-11 16:26:45.817747,0 days 00:05:50.059420,32,256,256,0.1,4.924554089255258e-05,4,3,COMPLETE
91,0.8578638855758334,2024-06-11 16:26:45.819713,2024-06-11 16:36:54.777801,0 days 00:10:08.958088,32,256,256,0.1,0.00026195577917274604,4,3,COMPLETE
92,0.8596660149093486,2024-06-11 16:36:54.779271,2024-06-11 16:47:05.135051,0 days 00:10:10.355780,32,256,256,0.1,0.00014633159746015126,4,3,COMPLETE
93,0.8315610899984813,2024-06-11 16:47:05.136407,2024-06-11 16:52:11.135979,0 days 00:05:05.999572,32,256,256,0.30000000000000004,0.00015515462971031057,4,3,COMPLETE
94,0.8620528596382272,2024-06-11 16:52:11.137335,2024-06-11 17:02:21.719674,0 days 00:10:10.582339,32,256,256,0.1,0.0001801690478992391,4,3,COMPLETE
95,0.858790723713283,2024-06-11 17:02:21.720968,2024-06-11 17:10:44.163278,0 days 00:08:22.442310,32,256,256,0.1,0.00018060350859682169,4,3,COMPLETE
96,0.8535624499075477,2024-06-11 17:10:44.164655,2024-06-11 17:18:50.086381,0 days 00:08:05.921726,32,256,256,0.1,7.66407777629169e-05,4,3,COMPLETE
97,0.840712230999518,2024-06-11 17:18:50.087830,2024-06-11 17:24:17.187886,0 days 00:05:27.100056,32,256,128,0.1,0.00011822458624515332,4,3,COMPLETE
98,0.8392108082584989,2024-06-11 17:24:17.189223,2024-06-11 17:30:39.231617,0 days 00:06:22.042394,32,256,256,0.2,0.00013443594727856207,4,3,COMPLETE
99,0.8606232935255876,2024-06-11 17:30:39.232995,2024-06-11 17:37:46.650064,0 days 00:07:07.417069,32,256,256,0.1,0.00022421510421305815,4,3,COMPLETE
